     Pressure (Pa)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.2100000000E+08    0.6798875540E+00    0.1200826622E-03    0.6813017621E+00
    0.2300000000E+08    0.6798969237E+00    0.1144797033E-03    0.6813033529E+00
    0.2500000000E+08    0.6799050901E+00    0.1095740477E-03    0.6813047021E+00
    0.2700000000E+08    0.6799122873E+00    0.1052328281E-03    0.6813058626E+00
    0.2900000000E+08    0.6799186905E+00    0.1013560466E-03    0.6813068729E+00
    0.3100000000E+08    0.6799244339E+00    0.9786681933E-04    0.6813077618E+00
    0.3300000000E+08    0.6799296220E+00    0.9470493961E-04    0.6813085509E+00
    0.3500000000E+08    0.6799343376E+00    0.9182250252E-04    0.6813092570E+00
    0.3700000000E+08    0.6799386474E+00    0.8918085487E-04    0.6813098933E+00
    0.3900000000E+08    0.6799426055E+00    0.8674842046E-04    0.6813104704E+00
    0.4100000000E+08    0.6799462567E+00    0.8449911879E-04    0.6813109967E+00
    0.4300000000E+08    0.6799496380E+00    0.8241119484E-04    0.6813114791E+00
    0.4500000000E+08    0.6799527807E+00    0.8046633957E-04    0.6813119233E+00
    0.4700000000E+08    0.6799557112E+00    0.7864901925E-04    0.6813123341E+00
    0.4900000000E+08    0.6799584519E+00    0.7694595771E-04    0.6813127155E+00
    0.1000000000E+08    0.6797894478E+00    0.1772986293E-03    0.6812823210E+00
    0.3000000000E+08    0.6799216376E+00    0.9956708331E-04    0.6813073310E+00
    0.5000000000E+08    0.6799597572E+00    0.7613364109E-04    0.6813128961E+00
    0.7000000000E+08    0.6799794166E+00    0.6379831315E-04    0.6813155591E+00
    0.9000000000E+08    0.6799918137E+00    0.5590733300E-04    0.6813172101E+00
    0.1100000000E+09    0.6800005011E+00    0.5031323355E-04    0.6813183791E+00
    0.1300000000E+09    0.6800070012E+00    0.4608559923E-04    0.6813192759E+00
    0.1500000000E+09    0.6800120871E+00    0.4274774979E-04    0.6813200015E+00
