c_atoms,branches,c_per_branch,pressure,temperature,molkg
7,2,1,10000,300,0.6934576058
7,2,1,50000,300,0.6934650048
7,2,1,100000,300,0.6934700201
7,2,1,500000,300,0.6934700201
7,2,1,1000000,300,0.6934618471
7,2,1,5000000,300,0.6934394022
7,2,1,10000000,300,0.6934675744
7,2,1,50000000,300,0.6934700201
7,2,1,100000000,300,0.6936016246
7,2,1,1,400,0.0014098803
7,2,1,5,400,0.0069456905
7,2,1,10,400,0.0136070892
7,2,1,50,400,0.0671455752
7,2,1,100,400,0.1263916601
7,2,1,500,400,0.3957794079
7,2,1,1000,400,0.5152303619
7,2,1,5000,400,0.6522424844
7,2,1,10000,400,0.6720918873
7,2,1,50000,400,0.6888942944
7,2,1,100000,400,0.6915138465
7,2,1,500000,400,0.6925443924
7,2,1,1000000,400,0.6925746389
7,2,1,5000000,400,0.6928361142
7,2,1,10000000,400,0.6927878809
7,2,1,50000000,400,0.6934081341
7,2,1,100000000,400,0.6934646333
7,2,1,500000000,400,0.9616872896
7,2,1,1000000000,400,1.156957333
7,2,1,0.01,600,0
7,2,1,0.05,600,0
7,2,1,0.1,600,6.19E-08
7,2,1,0.5,600,1.24E-07
7,2,1,1,600,3.10E-07
7,2,1,5,600,2.14E-06
7,2,1,10,600,4.92E-06
7,2,1,50,600,1.88E-05
7,2,1,100,600,4.50E-05
7,2,1,500,600,0.0002154401
7,2,1,1000,600,0.0004232953
7,2,1,5000,600,0.0021044958
7,2,1,10000,600,0.0042368542
7,2,1,50000,600,0.0206003319
7,2,1,100000,600,0.0403236409
7,2,1,500000,600,0.1700646374
7,2,1,1000000,600,0.2744608525
7,2,1,5000000,600,0.4982007815
7,2,1,10000000,600,0.5493619037
7,2,1,50000000,600,0.6621178381
7,2,1,100000000,600,0.6867189656
7,2,1,500000000,600,0.9495475397
7,2,1,1000000000,600,1.466590118
7,0,0,0.01,300,0.5070486231
7,0,0,0.05,300,0.6544034175
7,0,0,0.1,300,0.6743708032
7,0,0,0.5,300,0.702813538
7,0,0,1,300,0.714806328
7,0,0,5,300,0.8113048794
7,0,0,10,300,0.9069522582
7,0,0,50,300,1.128932166
7,0,0,100,300,1.167239853
7,0,0,500,300,1.206327167
7,0,0,1000,300,1.205841515
7,0,0,5000,300,1.211164213
7,0,0,10000,300,1.21194923
7,0,0,50000,300,1.213142305
7,0,0,100000,300,1.21194923
7,0,0,500000,300,1.213086363
7,0,0,1000000,300,1.210476495
7,0,0,5000000,300,1.21237116
7,0,0,10000000,300,1.212577536
7,0,0,50000000,300,1.213572535
7,0,0,100000000,300,1.213572535
7,0,0,0.01,400,0.0002481322
7,0,0,0.05,400,0.0013632878
7,0,0,0.1,400,0.0027479059
7,0,0,0.5,400,0.014179171
7,0,0,1,400,0.028162963
7,0,0,5,400,0.1268621981
7,0,0,10,400,0.2225407212
7,0,0,50,400,0.5020729447
7,0,0,100,400,0.5833120288
7,0,0,500,400,0.6710440665
7,0,0,1000,400,0.6846036963
7,0,0,5000,400,0.7081673432
7,0,0,10000,400,0.7275570127
7,0,0,50000,400,0.872102913
7,0,0,100000,400,1.019226417
7,0,0,500000,400,1.103524261
7,0,0,1000000,400,1.105952118
7,0,0,5000000,400,1.127237902
7,0,0,10000000,400,1.147811609
7,0,0,50000000,400,1.20589542
7,0,0,100000000,400,1.21264375
7,0,0,1,500,0.0002018493
7,0,0,5,500,0.0010534553
7,0,0,10,500,0.0021700968
7,0,0,50,500,0.0109625536
7,0,0,100,500,0.0219949187
7,0,0,500,500,0.0997235894
7,0,0,1000,500,0.1753312326
7,0,0,5000,500,0.4355873114
7,0,0,10000,500,0.5346708032
7,0,0,50000,500,0.654695387
7,0,0,100000,500,0.6747595489
7,0,0,500000,500,0.6987534258
7,0,0,1000000,500,0.7071931417
7,0,0,5000000,500,0.7213323762
7,0,0,10000000,500,0.7308461348
7,0,0,50000000,500,0.9057251568
7,0,0,100000000,500,1.171116443
7,0,0,500000000,500,1.275986571
7,0,0,1000000000,500,1.344964455
7,0,0,0.1,600,8.67E-07
7,0,0,0.5,600,4.15E-06
7,0,0,1,600,8.02E-06
7,0,0,5,600,4.08E-05
7,0,0,10,600,8.47E-05
7,0,0,50,600,0.0004380625
7,0,0,100,600,0.0008950097
7,0,0,500,600,0.0046189128
7,0,0,1000,600,0.0092677315
7,0,0,5000,600,0.0441491187
7,0,0,10000,600,0.0834223692
7,0,0,50000,600,0.28015452
7,0,0,100000,600,0.3939056458
7,0,0,500000,600,0.5927642109
7,0,0,1000000,600,0.6355722081
7,0,0,5000000,600,0.6762792389
7,0,0,10000000,600,0.6828872032
7,0,0,50000000,600,0.7073796975
7,0,0,100000000,600,0.7859697881
7,0,0,500000000,600,1.302368523
7,0,0,1000000000,600,1.381342963
