     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.6700000000E+05    0.1526963326E+00    0.4637132184E+00
    0.6900000000E+05    0.1531301802E+00    0.4646379597E+00
    0.7100000000E+05    0.1535446751E+00    0.4655114622E+00
    0.7300000000E+05    0.1539412167E+00    0.4663377218E+00
    0.7500000000E+05    0.1543210690E+00    0.4671203331E+00
    0.7700000000E+05    0.1546853773E+00    0.4678625385E+00
    0.7900000000E+05    0.1550351813E+00    0.4685672704E+00
    0.8100000000E+05    0.1553714278E+00    0.4692371868E+00
    0.8300000000E+05    0.1556949803E+00    0.4698747027E+00
    0.8500000000E+05    0.1560066286E+00    0.4704820173E+00
    0.8700000000E+05    0.1563070964E+00    0.4710611373E+00
    0.8900000000E+05    0.1565970480E+00    0.4716138976E+00
    0.9100000000E+05    0.1568770947E+00    0.4721419790E+00
    0.9300000000E+05    0.1571477997E+00    0.4726469240E+00
    0.9500000000E+05    0.1574096830E+00    0.4731301510E+00
    0.9700000000E+05    0.1576632255E+00    0.4735929659E+00
    0.9900000000E+05    0.1579088724E+00    0.4740365736E+00
    0.1000000000E+05    0.1033575862E+00    0.3276751615E+00
    0.3000000000E+05    0.1374558040E+00    0.4263762632E+00
    0.5000000000E+05    0.1479504071E+00    0.4529825370E+00
    0.7000000000E+05    0.1533397559E+00    0.4650808560E+00
    0.9000000000E+05    0.1567382732E+00    0.4718809237E+00
    0.1100000000E+06    0.1591358757E+00    0.4761788964E+00
    0.1300000000E+06    0.1609511689E+00    0.4791067625E+00
    0.1500000000E+06    0.1623937329E+00    0.4812078518E+00
    0.1700000000E+06    0.1635810487E+00    0.4827744486E+00
    0.1900000000E+06    0.1645845510E+00    0.4839772546E+00
    0.2100000000E+06    0.1654504307E+00    0.4849223637E+00
    0.2300000000E+06    0.1662100295E+00    0.4856790136E+00
    0.2500000000E+06    0.1668854543E+00    0.4862942036E+00
    0.2700000000E+06    0.1674928038E+00    0.4868008882E+00
    0.2900000000E+06    0.1680441183E+00    0.4872228112E+00
    0.3100000000E+06    0.1685486091E+00    0.4875774797E+00
    0.3300000000E+06    0.1690134621E+00    0.4878780615E+00
    0.3500000000E+06    0.1694443786E+00    0.4881346340E+00
    0.3700000000E+06    0.1698459496E+00    0.4883550269E+00
    0.3900000000E+06    0.1702219208E+00    0.4885454060E+00
    0.4100000000E+06    0.1705753842E+00    0.4887106853E+00
    0.4300000000E+06    0.1709089186E+00    0.4888548231E+00
    0.4500000000E+06    0.1712246955E+00    0.4889810388E+00
    0.4700000000E+06    0.1715245588E+00    0.4890919740E+00
    0.4900000000E+06    0.1718100863E+00    0.4891898131E+00
    0.5100000000E+06    0.1720826380E+00    0.4892763759E+00
    0.5300000000E+06    0.1723433932E+00    0.4893531884E+00
    0.5500000000E+06    0.1725933813E+00    0.4894215378E+00
    0.5700000000E+06    0.1728335052E+00    0.4894825166E+00
    0.5900000000E+06    0.1730645611E+00    0.4895370561E+00
    0.6100000000E+06    0.1732872546E+00    0.4895859546E+00
    0.6300000000E+06    0.1735022134E+00    0.4896298992E+00
    0.6500000000E+06    0.1737099985E+00    0.4896694836E+00
    0.6700000000E+06    0.1739111128E+00    0.4897052231E+00
    0.6900000000E+06    0.1741060094E+00    0.4897375663E+00
    0.7100000000E+06    0.1742950971E+00    0.4897669053E+00
    0.7300000000E+06    0.1744787465E+00    0.4897935834E+00
    0.7500000000E+06    0.1746572944E+00    0.4898179026E+00
    0.7700000000E+06    0.1748310476E+00    0.4898401292E+00
    0.7900000000E+06    0.1750002864E+00    0.4898604982E+00
    0.8100000000E+06    0.1751652676E+00    0.4898792181E+00
    0.8300000000E+06    0.1753262269E+00    0.4898964737E+00
    0.8500000000E+06    0.1754833813E+00    0.4899124297E+00
    0.8700000000E+06    0.1756369309E+00    0.4899272327E+00
    0.8900000000E+06    0.1757870604E+00    0.4899410137E+00
    0.9100000000E+06    0.1759339410E+00    0.4899538900E+00
    0.9300000000E+06    0.1760777316E+00    0.4899659666E+00
    0.9500000000E+06    0.1762185795E+00    0.4899773378E+00
    0.9700000000E+06    0.1763566221E+00    0.4899880884E+00
    0.9900000000E+06    0.1764919873E+00    0.4899982947E+00
    0.1000000000E+06    0.1580288654E+00    0.4742515258E+00
    0.3000000000E+06    0.1683017274E+00    0.4874076446E+00
    0.5000000000E+06    0.1719479066E+00    0.4892344025E+00
    0.7000000000E+06    0.1742012553E+00    0.4897525888E+00
    0.9000000000E+06    0.1758608966E+00    0.4899475581E+00
    0.1100000000E+07    0.1771936102E+00    0.4900474556E+00
    0.1300000000E+07    0.1783198519E+00    0.4901241320E+00
    0.1500000000E+07    0.1793039913E+00    0.4902036432E+00
    0.1700000000E+07    0.1801843807E+00    0.4902958076E+00
    0.1900000000E+07    0.1809856854E+00    0.4904040004E+00
    0.2100000000E+07    0.1817246940E+00    0.4905288771E+00
    0.2300000000E+07    0.1824133447E+00    0.4906699283E+00
    0.2500000000E+07    0.1830604281E+00    0.4908261693E+00
    0.2700000000E+07    0.1836726031E+00    0.4909964571E+00
    0.2900000000E+07    0.1842550342E+00    0.4911796378E+00
    0.3100000000E+07    0.1848118078E+00    0.4913746128E+00
    0.3300000000E+07    0.1853462120E+00    0.4915803664E+00
    0.3500000000E+07    0.1858609325E+00    0.4917959727E+00
    0.3700000000E+07    0.1863581908E+00    0.4920205950E+00
    0.3900000000E+07    0.1868398457E+00    0.4922534797E+00
    0.4100000000E+07    0.1873074681E+00    0.4924939490E+00
    0.4300000000E+07    0.1877623977E+00    0.4927413930E+00
    0.4500000000E+07    0.1882057861E+00    0.4929952627E+00
    0.4700000000E+07    0.1886386304E+00    0.4932550630E+00
    0.4900000000E+07    0.1890618003E+00    0.4935203465E+00
    0.5100000000E+07    0.1894760580E+00    0.4937907078E+00
    0.5300000000E+07    0.1898820760E+00    0.4940657793E+00
    0.5500000000E+07    0.1902804504E+00    0.4943452267E+00
    0.5700000000E+07    0.1906717121E+00    0.4946287448E+00
    0.5900000000E+07    0.1910563358E+00    0.4949160553E+00
    0.6100000000E+07    0.1914347481E+00    0.4952069030E+00
    0.6300000000E+07    0.1918073334E+00    0.4955010540E+00
    0.6500000000E+07    0.1921744394E+00    0.4957982929E+00
    0.6700000000E+07    0.1925363820E+00    0.4960984216E+00
    0.6900000000E+07    0.1928934484E+00    0.4964012571E+00
    0.7100000000E+07    0.1932459010E+00    0.4967066301E+00
    0.7300000000E+07    0.1935939803E+00    0.4970143840E+00
    0.7500000000E+07    0.1939379067E+00    0.4973243732E+00
    0.7700000000E+07    0.1942778831E+00    0.4976364626E+00
    0.7900000000E+07    0.1946140967E+00    0.4979505263E+00
    0.8100000000E+07    0.1949467205E+00    0.4982664469E+00
    0.8300000000E+07    0.1952759148E+00    0.4985841149E+00
    0.8500000000E+07    0.1956018281E+00    0.4989034280E+00
    0.8700000000E+07    0.1959245987E+00    0.4992242901E+00
    0.8900000000E+07    0.1962443554E+00    0.4995466114E+00
    0.9100000000E+07    0.1965612182E+00    0.4998703075E+00
    0.9300000000E+07    0.1968752995E+00    0.5001952992E+00
    0.9500000000E+07    0.1971867042E+00    0.5005215119E+00
    0.9700000000E+07    0.1974955309E+00    0.5008488753E+00
    0.9900000000E+07    0.1978018719E+00    0.5011773232E+00
    0.1000000000E+07    0.1765587035E+00    0.4900032154E+00
    0.3000000000E+07    0.1845364066E+00    0.4912757166E+00
    0.5000000000E+07    0.1892699992E+00    0.4936549162E+00
    0.7000000000E+07    0.1930702359E+00    0.4965536365E+00
    0.9000000000E+07    0.1964031413E+00    0.4997082927E+00
    0.1100000000E+08    0.1994459547E+00    0.5030005458E+00
    0.1300000000E+08    0.2022856925E+00    0.5063681818E+00
    0.1500000000E+08    0.2049718163E+00    0.5097748435E+00
    0.1700000000E+08    0.2075353043E+00    0.5131976866E+00
    0.1900000000E+08    0.2099969595E+00    0.5166215990E+00
    0.2100000000E+08    0.2123715122E+00    0.5200362041E+00
    0.2300000000E+08    0.2146698380E+00    0.5234341817E+00
    0.2500000000E+08    0.2169002448E+00    0.5268102675E+00
    0.2700000000E+08    0.2190692608E+00    0.5301606283E+00
    0.2900000000E+08    0.2211821400E+00    0.5334824538E+00
    0.3100000000E+08    0.2232431988E+00    0.5367736825E+00
    0.3300000000E+08    0.2252560462E+00    0.5400328115E+00
    0.3500000000E+08    0.2272237472E+00    0.5432587609E+00
    0.3700000000E+08    0.2291489405E+00    0.5464507759E+00
    0.3900000000E+08    0.2310339249E+00    0.5496083545E+00
    0.4100000000E+08    0.2328807248E+00    0.5527311924E+00
    0.4300000000E+08    0.2346911397E+00    0.5558191420E+00
    0.4500000000E+08    0.2364667832E+00    0.5588721800E+00
    0.4700000000E+08    0.2382091123E+00    0.5618903825E+00
    0.4900000000E+08    0.2399194525E+00    0.5648739051E+00
    0.5100000000E+08    0.2415990163E+00    0.5678229673E+00
    0.5300000000E+08    0.2432489192E+00    0.5707378400E+00
    0.5500000000E+08    0.2448701926E+00    0.5736188351E+00
    0.5700000000E+08    0.2464637940E+00    0.5764662972E+00
    0.5900000000E+08    0.2480306164E+00    0.5792805972E+00
    0.6100000000E+08    0.2495714953E+00    0.5820621261E+00
    0.6300000000E+08    0.2510872151E+00    0.5848112911E+00
    0.6500000000E+08    0.2525785143E+00    0.5875285114E+00
    0.6700000000E+08    0.2540460904E+00    0.5902142151E+00
    0.6900000000E+08    0.2554906034E+00    0.5928688364E+00
    0.7100000000E+08    0.2569126796E+00    0.5954928140E+00
    0.7300000000E+08    0.2583129143E+00    0.5980865884E+00
    0.7500000000E+08    0.2596918747E+00    0.6006506012E+00
    0.7700000000E+08    0.2610501018E+00    0.6031852933E+00
    0.7900000000E+08    0.2623881126E+00    0.6056911038E+00
    0.8100000000E+08    0.2637064021E+00    0.6081684694E+00
    0.8300000000E+08    0.2650054446E+00    0.6106178236E+00
    0.8500000000E+08    0.2662856952E+00    0.6130395958E+00
    0.8700000000E+08    0.2675475913E+00    0.6154342111E+00
    0.8900000000E+08    0.2687915533E+00    0.6178020897E+00
    0.9100000000E+08    0.2700179863E+00    0.6201436466E+00
    0.9300000000E+08    0.2712272804E+00    0.6224592912E+00
    0.9500000000E+08    0.2724198120E+00    0.6247494275E+00
    0.9700000000E+08    0.2735959443E+00    0.6270144533E+00
    0.9900000000E+08    0.2747560283E+00    0.6292547606E+00
    0.1000000000E+08    0.1979541377E+00    0.5013419342E+00
    0.3000000000E+08    0.2222189070E+00    0.5351319980E+00
    0.5000000000E+08    0.2407630096E+00    0.5663527279E+00
    0.7000000000E+08    0.2562044082E+00    0.5941846282E+00
    0.9000000000E+08    0.2694069362E+00    0.6189761326E+00
    0.1100000000E+09    0.2808642525E+00    0.6411515356E+00
    0.1300000000E+09    0.2909118834E+00    0.6610896866E+00
    0.1500000000E+09    0.2997961412E+00    0.6791098698E+00
    0.1700000000E+09    0.3077056508E+00    0.6954774775E+00
    0.1900000000E+09    0.3147888178E+00    0.7104129036E+00
    0.2100000000E+09    0.3211646806E+00    0.7240998479E+00
    0.2300000000E+09    0.3269301545E+00    0.7366922581E+00
    0.2500000000E+09    0.3321651045E+00    0.7483199260E+00
    0.2700000000E+09    0.3369360217E+00    0.7590929474E+00
    0.2900000000E+09    0.3412987548E+00    0.7691052684E+00
    0.3100000000E+09    0.3453005817E+00    0.7784375128E+00
    0.3300000000E+09    0.3489818057E+00    0.7871592480E+00
    0.3500000000E+09    0.3523770022E+00    0.7953308089E+00
    0.3700000000E+09    0.3555160038E+00    0.8030047770E+00
    0.3900000000E+09    0.3584246879E+00    0.8102271850E+00
    0.4100000000E+09    0.3611256105E+00    0.8170385063E+00
    0.4300000000E+09    0.3636385217E+00    0.8234744695E+00
    0.4500000000E+09    0.3659807877E+00    0.8295667357E+00
    0.4700000000E+09    0.3681677384E+00    0.8353434622E+00
    0.4900000000E+09    0.3702129562E+00    0.8408297757E+00
    0.5100000000E+09    0.3721285166E+00    0.8460481704E+00
    0.5300000000E+09    0.3739251905E+00    0.8510188456E+00
    0.5500000000E+09    0.3756126147E+00    0.8557599919E+00
    0.5700000000E+09    0.3771994357E+00    0.8602880363E+00
    0.5900000000E+09    0.3786934334E+00    0.8646178517E+00
    0.6100000000E+09    0.3801016258E+00    0.8687629372E+00
    0.6300000000E+09    0.3814303592E+00    0.8727355745E+00
    0.6500000000E+09    0.3826853862E+00    0.8765469624E+00
    0.6700000000E+09    0.3838719324E+00    0.8802073347E+00
    0.6900000000E+09    0.3849947555E+00    0.8837260621E+00
    0.7100000000E+09    0.3860581953E+00    0.8871117424E+00
    0.7300000000E+09    0.3870662184E+00    0.8903722788E+00
    0.7500000000E+09    0.3880224571E+00    0.8935149493E+00
    0.7700000000E+09    0.3889302434E+00    0.8965464676E+00
    0.7900000000E+09    0.3897926387E+00    0.8994730373E+00
    0.8100000000E+09    0.3906124611E+00    0.9023003998E+00
    0.8300000000E+09    0.3913923081E+00    0.9050338769E+00
    0.8500000000E+09    0.3921345779E+00    0.9076784085E+00
    0.8700000000E+09    0.3928414876E+00    0.9102385870E+00
    0.8900000000E+09    0.3935150902E+00    0.9127186871E+00
    0.9100000000E+09    0.3941572887E+00    0.9151226934E+00
    0.9300000000E+09    0.3947698497E+00    0.9174543247E+00
    0.9500000000E+09    0.3953544152E+00    0.9197170559E+00
    0.9700000000E+09    0.3959125132E+00    0.9219141378E+00
    0.9900000000E+09    0.3964455673E+00    0.9240486155E+00
    0.1000000000E+09    0.2753301587E+00    0.6303657656E+00
