# pressure,temperature,f1,f2,molkg1,molkg2
7.700000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,1.656621876999999840e-02,6.363538757000000191e-04
7.900000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,1.698542562000000117e-02,6.524487643000000505e-04
8.100000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,1.740408604999999984e-02,6.685222727999999906e-04
8.300000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,1.782220112999999967e-02,6.845744433999999528e-04
8.500000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,1.823977192000000164e-02,7.006053179000000302e-04
8.700000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,1.865679947999999977e-02,7.166149381999999688e-04
8.900000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,1.907328487999999933e-02,7.326033460999999700e-04
9.100000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,1.948922918000000129e-02,7.485705831999999544e-04
9.300000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,1.990463342000000149e-02,7.645166909999999731e-04
9.500000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,2.031949865000000008e-02,7.804417108999999906e-04
9.700000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,2.073382593999999884e-02,7.963456841000000159e-04
9.900000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,2.114761631999999975e-02,8.122286520000000136e-04
1.000000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,2.199543559999999915e-03,8.452545352999999459e-05
3.000000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,6.554897034000000365e-03,2.518644755000000240e-04
5.000000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,1.085289927999999980e-02,4.169588058000000099e-04
7.000000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,1.509467624000000036e-02,5.798527880000000538e-04
9.000000000000000000e+01,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,1.928132460000000006e-02,7.405896084000000235e-04
1.100000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,2.341391269000000011e-02,8.992113343000000293e-04
1.300000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,2.749348140999999940e-02,1.055758949000000068e-03
1.500000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,3.152104509999999887e-02,1.210272387000000055e-03
1.700000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,3.549759238999999900e-02,1.362790567999999907e-03
1.900000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,3.942408701999999820e-02,1.513351427000000048e-03
2.100000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,4.330146859000000292e-02,1.661991946999999935e-03
2.300000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,4.713065333000000107e-02,1.808748187999999896e-03
2.500000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,5.091253479999999915e-02,1.953655315999999927e-03
2.700000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,5.464798464000000106e-02,2.096747628000000026e-03
2.900000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,5.833785318000000303e-02,2.238058583000000074e-03
3.100000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,6.198297009999999968e-02,2.377620825000000167e-03
3.300000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,6.558414509000000392e-02,2.515466206000000100e-03
3.500000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,6.914216839999999531e-02,2.651625813000000123e-03
3.700000000000000000e+02,5.000000000000000000e+02,9.000000000000000222e-01,0.000000000000000000e+00,7.265781145999999913e-02,2.786129989999999983e-03
