      Pressure (pa)     C7-500 (mol/kg)     3mC6-500 (mol/kg)
    0.5300000000E+04    0.3122617458E+00    0.9026688019E-01
    0.5500000000E+04    0.3169981384E+00    0.9158745349E-01
    0.5700000000E+04    0.3215339526E+00    0.9284949345E-01
    0.5900000000E+04    0.3258817515E+00    0.9405672243E-01
    0.6100000000E+04    0.3300530691E+00    0.9521255543E-01
    0.6300000000E+04    0.3340585130E+00    0.9632013112E-01
    0.6500000000E+04    0.3379078561E+00    0.9738233915E-01
    0.6700000000E+04    0.3416101169E+00    0.9840184436E-01
    0.6900000000E+04    0.3451736310E+00    0.9938110810E-01
    0.7100000000E+04    0.3486061148E+00    0.1003224073E+00
    0.7300000000E+04    0.3519147218E+00    0.1012278514E+00
    0.7500000000E+04    0.3551060930E+00    0.1020993974E+00
    0.7700000000E+04    0.3581864021E+00    0.1029388633E+00
    0.7900000000E+04    0.3611613961E+00    0.1037479403E+00
    0.8100000000E+04    0.3640364312E+00    0.1045282035E+00
    0.8300000000E+04    0.3668165059E+00    0.1052811219E+00
    0.8500000000E+04    0.3695062899E+00    0.1060080669E+00
    0.8700000000E+04    0.3721101513E+00    0.1067103203E+00
    0.8900000000E+04    0.3746321801E+00    0.1073890817E+00
    0.9100000000E+04    0.3770762102E+00    0.1080454748E+00
    0.9300000000E+04    0.3794458394E+00    0.1086805531E+00
    0.9500000000E+04    0.3817444466E+00    0.1092953057E+00
    0.9700000000E+04    0.3839752092E+00    0.1098906618E+00
    0.9900000000E+04    0.3861411169E+00    0.1104674953E+00
    0.1010000000E+05    0.3882449862E+00    0.1110266287E+00
    0.1030000000E+05    0.3902894724E+00    0.1115688372E+00
    0.1050000000E+05    0.3922770808E+00    0.1120948515E+00
    0.1070000000E+05    0.3942101777E+00    0.1126053612E+00
    0.1090000000E+05    0.3960909992E+00    0.1131010178E+00
    0.1110000000E+05    0.3979216609E+00    0.1135824370E+00
    0.1130000000E+05    0.3997041650E+00    0.1140502012E+00
    0.1150000000E+05    0.4014404085E+00    0.1145048619E+00
    0.1170000000E+05    0.4031321898E+00    0.1149469414E+00
    0.1190000000E+05    0.4047812149E+00    0.1153769350E+00
    0.1000000000E+04    0.1130702659E+00    0.3315985127E-01
    0.3000000000E+04    0.2375439177E+00    0.6914004509E-01
    0.5000000000E+04    0.3047507347E+00    0.8816727463E-01
    0.7000000000E+04    0.3469057921E+00    0.9985636770E-01
    0.9000000000E+04    0.3758637148E+00    0.1077200069E+00
    0.1100000000E+05    0.3970124723E+00    0.1133434699E+00
    0.1300000000E+05    0.4131550623E+00    0.1175457137E+00
    0.1500000000E+05    0.4258944097E+00    0.1207918142E+00
    0.1700000000E+05    0.4362138869E+00    0.1233651119E+00
    0.1900000000E+05    0.4447504820E+00    0.1254478719E+00
    0.2100000000E+05    0.4519350968E+00    0.1271625370E+00
    0.2300000000E+05    0.4580697365E+00    0.1285943287E+00
    0.2500000000E+05    0.4633724062E+00    0.1298043380E+00
    0.2700000000E+05    0.4680044536E+00    0.1308374648E+00
    0.2900000000E+05    0.4720878779E+00    0.1317274229E+00
    0.3100000000E+05    0.4757166538E+00    0.1325000002E+00
    0.3300000000E+05    0.4789643547E+00    0.1331752455E+00
    0.3500000000E+05    0.4818894145E+00    0.1337689702E+00
    0.3700000000E+05    0.4845388384E+00    0.1342938041E+00
    0.3900000000E+05    0.4869508727E+00    0.1347599509E+00
    0.4100000000E+05    0.4891569587E+00    0.1351757400E+00
    0.4300000000E+05    0.4911831854E+00    0.1355480335E+00
    0.4500000000E+05    0.4930513848E+00    0.1358825332E+00
    0.4700000000E+05    0.4947799682E+00    0.1361840134E+00
    0.4900000000E+05    0.4963845733E+00    0.1364564999E+00
    0.5100000000E+05    0.4978785684E+00    0.1367034098E+00
    0.5300000000E+05    0.4992734514E+00    0.1369276609E+00
    0.5500000000E+05    0.5005791668E+00    0.1371317586E+00
    0.5700000000E+05    0.5018043604E+00    0.1373178652E+00
    0.5900000000E+05    0.5029565850E+00    0.1374878562E+00
    0.6100000000E+05    0.5040424690E+00    0.1376433653E+00
    0.6300000000E+05    0.5050678537E+00    0.1377858217E+00
    0.6500000000E+05    0.5060379074E+00    0.1379164809E+00
    0.6700000000E+05    0.5069572201E+00    0.1380364494E+00
    0.6900000000E+05    0.5078298824E+00    0.1381467061E+00
    0.7100000000E+05    0.5086595517E+00    0.1382481198E+00
    0.7300000000E+05    0.5094495089E+00    0.1383414640E+00
    0.7500000000E+05    0.5102027052E+00    0.1384274293E+00
    0.7700000000E+05    0.5109218031E+00    0.1385066340E+00
    0.7900000000E+05    0.5116092109E+00    0.1385796333E+00
    0.8100000000E+05    0.5122671126E+00    0.1386469267E+00
    0.8300000000E+05    0.5128974934E+00    0.1387089648E+00
    0.8500000000E+05    0.5135021619E+00    0.1387661551E+00
    0.8700000000E+05    0.5140827696E+00    0.1388188668E+00
    0.8900000000E+05    0.5146408275E+00    0.1388674350E+00
    0.9100000000E+05    0.5151777210E+00    0.1389121647E+00
    0.9300000000E+05    0.5156947227E+00    0.1389533337E+00
    0.9500000000E+05    0.5161930036E+00    0.1389911960E+00
    0.9700000000E+05    0.5166736432E+00    0.1390259834E+00
    0.9900000000E+05    0.5171376382E+00    0.1390579088E+00
