     Pressure (Pa)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1700000000E+07    0.1360670150E-02    0.6803983135E+00    0.6843961701E+00
    0.1900000000E+07    0.1280400756E-02    0.6804873299E+00    0.6845201270E+00
    0.2100000000E+07    0.1212344083E-02    0.6805594478E+00    0.6846251355E+00
    0.2300000000E+07    0.1153706774E-02    0.6806190991E+00    0.6847155247E+00
    0.2500000000E+07    0.1102513121E-02    0.6806692872E+00    0.6847943612E+00
    0.2700000000E+07    0.1057321386E-02    0.6807121199E+00    0.6848638850E+00
    0.2900000000E+07    0.1017051738E-02    0.6807491207E+00    0.6849257745E+00
    0.3100000000E+07    0.9808774025E-03    0.6807814181E+00    0.6849813153E+00
    0.3300000000E+07    0.9481532829E-03    0.6808098661E+00    0.6850315105E+00
    0.3500000000E+07    0.9183677313E-03    0.6808351230E+00    0.6850771555E+00
    0.3700000000E+07    0.8911090807E-03    0.6808577044E+00    0.6851188903E+00
    0.3900000000E+07    0.8660418885E-03    0.6808780201E+00    0.6851572362E+00
    0.4100000000E+07    0.8428897272E-03    0.6808963999E+00    0.6851926227E+00
    0.4300000000E+07    0.8214224938E-03    0.6809131122E+00    0.6852254070E+00
    0.4500000000E+07    0.8014468995E-03    0.6809283778E+00    0.6852558892E+00
    0.4700000000E+07    0.7827992396E-03    0.6809423798E+00    0.6852843233E+00
    0.4900000000E+07    0.7653398250E-03    0.6809552716E+00    0.6853109259E+00
    0.1000000000E+07    0.1822448826E-02    0.6798048375E+00    0.6836827346E+00
    0.3000000000E+07    0.9984965799E-03    0.6807657986E+00    0.6849542702E+00
    0.5000000000E+07    0.7570175355E-03    0.6809613425E+00    0.6853235996E+00
    0.7000000000E+07    0.6310741075E-03    0.6810473452E+00    0.6855148047E+00
    0.9000000000E+07    0.5509462223E-03    0.6810963097E+00    0.6856358051E+00
    0.1100000000E+08    0.4943608935E-03    0.6811281827E+00    0.6857209029E+00
    0.1300000000E+08    0.4517253951E-03    0.6811507165E+00    0.6857848087E+00
    0.1500000000E+08    0.4181454670E-03    0.6811675677E+00    0.6858350014E+00
    0.1700000000E+08    0.3908310361E-03    0.6811806924E+00    0.6858757316E+00
    0.1900000000E+08    0.3680611175E-03    0.6811912347E+00    0.6859096146E+00
    0.2100000000E+08    0.3487095486E-03    0.6811999098E+00    0.6859383576E+00
    0.2300000000E+08    0.3320046868E-03    0.6812071888E+00    0.6859631283E+00
    0.2500000000E+08    0.3173979241E-03    0.6812133946E+00    0.6859847552E+00
    0.2700000000E+08    0.3044872293E-03    0.6812187569E+00    0.6860038446E+00
    0.2900000000E+08    0.2929704349E-03    0.6812234430E+00    0.6860208514E+00
    0.3100000000E+08    0.2826155030E-03    0.6812275785E+00    0.6860361245E+00
    0.3300000000E+08    0.2732409312E-03    0.6812312590E+00    0.6860499364E+00
    0.3500000000E+08    0.2647024531E-03    0.6812345590E+00    0.6860625036E+00
    0.3700000000E+08    0.2568837757E-03    0.6812375373E+00    0.6860740002E+00
    0.3900000000E+08    0.2496899837E-03    0.6812402409E+00    0.6860845684E+00
    0.4100000000E+08    0.2430427474E-03    0.6812427081E+00    0.6860943252E+00
    0.4300000000E+08    0.2368767802E-03    0.6812449700E+00    0.6861033681E+00
    0.4500000000E+08    0.2311371780E-03    0.6812470527E+00    0.6861117792E+00
    0.4700000000E+08    0.2257773923E-03    0.6812489777E+00    0.6861196278E+00
    0.4900000000E+08    0.2207576666E-03    0.6812507633E+00    0.6861269733E+00
    0.1000000000E+08    0.5204703522E-03    0.6811137545E+00    0.6856816758E+00
    0.3000000000E+08    0.2876600845E-03    0.6812255730E+00    0.6860286861E+00
    0.5000000000E+08    0.2183644534E-03    0.6812516088E+00    0.6861304735E+00
    0.7000000000E+08    0.1821127879E-03    0.6812639599E+00    0.6861833399E+00
    0.9000000000E+08    0.1590201694E-03    0.6812713962E+00    0.6862168490E+00
    0.1100000000E+09    0.1427020066E-03    0.6812764600E+00    0.6862404367E+00
    0.1300000000E+09    0.1304020803E-03    0.6812801790E+00    0.6862581594E+00
    0.1500000000E+09    0.1207122639E-03    0.6812830536E+00    0.6862720831E+00
    0.1700000000E+09    0.1128291362E-03    0.6812853592E+00    0.6862833835E+00
    0.1900000000E+09    0.1062568344E-03    0.6812872605E+00    0.6862927844E+00
    0.2100000000E+09    0.1006707425E-03    0.6812888631E+00    0.6863007588E+00
    0.2300000000E+09    0.9584836377E-04    0.6812902377E+00    0.6863076305E+00
    0.2500000000E+09    0.9163147310E-04    0.6812914337E+00    0.6863136292E+00
    0.2700000000E+09    0.8790409745E-04    0.6812924868E+00    0.6863189231E+00
    0.2900000000E+09    0.8457905794E-04    0.6812934236E+00    0.6863236385E+00
    0.3100000000E+09    0.8158940047E-04    0.6812942642E+00    0.6863278722E+00
    0.3300000000E+09    0.7888274754E-04    0.6812950242E+00    0.6863317000E+00
    0.3500000000E+09    0.7641746346E-04    0.6812957157E+00    0.6863351820E+00
    0.3700000000E+09    0.7415998345E-04    0.6812963488E+00    0.6863383664E+00
    0.3900000000E+09    0.7208291108E-04    0.6812969312E+00    0.6863412929E+00
    0.4100000000E+09    0.7016363608E-04    0.6812974695E+00    0.6863439939E+00
    0.4300000000E+09    0.6838331228E-04    0.6812979691E+00    0.6863464966E+00
    0.4500000000E+09    0.6672608999E-04    0.6812984346E+00    0.6863488237E+00
    0.4700000000E+09    0.6517853121E-04    0.6812988698E+00    0.6863509945E+00
    0.4900000000E+09    0.6372915835E-04    0.6812992778E+00    0.6863530256E+00
    0.1000000000E+09    0.1502324406E-03    0.6812741421E+00    0.6862295616E+00
