     Pressure (Pa)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.3100000000E+09    0.6252763153E-04    0.6810072877E+00    0.6865617475E+00
    0.3300000000E+09    0.6064913980E-04    0.6810153341E+00    0.6865591772E+00
    0.3500000000E+09    0.5893282800E-04    0.6810227062E+00    0.6865568046E+00
    0.3700000000E+09    0.5735656301E-04    0.6810294950E+00    0.6865546044E+00
    0.3900000000E+09    0.5590222685E-04    0.6810357750E+00    0.6865525560E+00
    0.4100000000E+09    0.5455482570E-04    0.6810416078E+00    0.6865506418E+00
    0.4300000000E+09    0.5330182925E-04    0.6810470451E+00    0.6865488472E+00
    0.4500000000E+09    0.5213267332E-04    0.6810521306E+00    0.6865471598E+00
    0.4700000000E+09    0.5103837992E-04    0.6810569013E+00    0.6865455688E+00
    0.4900000000E+09    0.5001126343E-04    0.6810613891E+00    0.6865440650E+00
    0.1000000000E+09    0.1086186665E-03    0.6808143867E+00    0.6866180587E+00
